date,division,inflation_yoy,inflation_mom,year,month,division_label
1980-02-01,01,,0.6,1980,2,Food & Non-Alcoholic Beverages
1980-03-01,01,,0.0,1980,3,Food & Non-Alcoholic Beverages
1980-04-01,01,,-0.3,1980,4,Food & Non-Alcoholic Beverages
1980-05-01,01,,0.6,1980,5,Food & Non-Alcoholic Beverages
1980-06-01,01,,0.9,1980,6,Food & Non-Alcoholic Beverages
1980-07-01,01,,0.6,1980,7,Food & Non-Alcoholic Beverages
1980-08-01,01,,0.3,1980,8,Food & Non-Alcoholic Beverages
1980-09-01,01,,-0.9,1980,9,Food & Non-Alcoholic Beverages
1980-10-01,01,,0.9,1980,10,Food & Non-Alcoholic Beverages
1980-11-01,01,,1.2,1980,11,Food & Non-Alcoholic Beverages
1980-12-01,01,,1.5,1980,12,Food & Non-Alcoholic Beverages
1981-01-01,01,8.2,2.6,1981,1,Food & Non-Alcoholic Beverages
1981-02-01,01,10.2,2.5,1981,2,Food & Non-Alcoholic Beverages
1981-03-01,01,11.4,1.1,1981,3,Food & Non-Alcoholic Beverages
1981-04-01,01,11.7,0.0,1981,4,Food & Non-Alcoholic Beverages
1981-05-01,01,11.4,0.3,1981,5,Food & Non-Alcoholic Beverages
1981-06-01,01,11.6,1.1,1981,6,Food & Non-Alcoholic Beverages
1981-07-01,01,11.2,0.3,1981,7,Food & Non-Alcoholic Beverages
1981-08-01,01,12.4,1.3,1981,8,Food & Non-Alcoholic Beverages
1981-09-01,01,13.6,0.3,1981,9,Food & Non-Alcoholic Beverages
1981-10-01,01,12.6,0.0,1981,10,Food & Non-Alcoholic Beverages
1981-11-01,01,11.9,0.5,1981,11,Food & Non-Alcoholic Beverages
1981-12-01,01,11.7,1.3,1981,12,Food & Non-Alcoholic Beverages
1982-01-01,01,10.1,1.0,1982,1,Food & Non-Alcoholic Beverages
1982-02-01,01,8.7,1.3,1982,2,Food & Non-Alcoholic Beverages
1982-03-01,01,7.8,0.3,1982,3,Food & Non-Alcoholic Beverages
1982-04-01,01,8.1,0.2,1982,4,Food & Non-Alcoholic Beverages
1982-05-01,01,8.6,0.7,1982,5,Food & Non-Alcoholic Beverages
1982-06-01,01,8.2,0.7,1982,6,Food & Non-Alcoholic Beverages
1982-07-01,01,8.2,0.2,1982,7,Food & Non-Alcoholic Beverages
1982-08-01,01,7.1,0.2,1982,8,Food & Non-Alcoholic Beverages
1982-09-01,01,6.5,-0.2,1982,9,Food & Non-Alcoholic Beverages
1982-10-01,01,5.7,-0.7,1982,10,Food & Non-Alcoholic Beverages
1982-11-01,01,5.2,0.0,1982,11,Food & Non-Alcoholic Beverages
1982-12-01,01,3.8,0.0,1982,12,Food & Non-Alcoholic Beverages
1983-01-01,01,3.0,0.2,1983,1,Food & Non-Alcoholic Beverages
1983-02-01,01,0.3,-1.5,1983,2,Food & Non-Alcoholic Beverages
1983-03-01,01,0.7,0.7,1983,3,Food & Non-Alcoholic Beverages
1983-04-01,01,0.2,-0.2,1983,4,Food & Non-Alcoholic Beverages
1983-05-01,01,0.7,1.2,1983,5,Food & Non-Alcoholic Beverages
1983-06-01,01,0.2,0.2,1983,6,Food & Non-Alcoholic Beverages
1983-07-01,01,-1.5,-1.5,1983,7,Food & Non-Alcoholic Beverages
1983-08-01,01,-1.0,0.7,1983,8,Food & Non-Alcoholic Beverages
1983-09-01,01,-0.2,0.5,1983,9,Food & Non-Alcoholic Beverages
1983-10-01,01,1.0,0.5,1983,10,Food & Non-Alcoholic Beverages
1983-11-01,01,1.0,0.0,1983,11,Food & Non-Alcoholic Beverages
1983-12-01,01,3.0,2.0,1983,12,Food & Non-Alcoholic Beverages
1984-01-01,01,4.7,1.9,1984,1,Food & Non-Alcoholic Beverages
1984-02-01,01,9.3,2.8,1984,2,Food & Non-Alcoholic Beverages
