state,date,division,index,year,month,division_label
Johor,2010-01-01,01,98.9,2010,1,Food & Non-Alcoholic Beverages
Johor,2010-02-01,01,98.9,2010,2,Food & Non-Alcoholic Beverages
Johor,2010-03-01,01,99.0,2010,3,Food & Non-Alcoholic Beverages
Johor,2010-04-01,01,99.1,2010,4,Food & Non-Alcoholic Beverages
Johor,2010-05-01,01,99.4,2010,5,Food & Non-Alcoholic Beverages
Johor,2010-06-01,01,100.1,2010,6,Food & Non-Alcoholic Beverages
Johor,2010-07-01,01,100.5,2010,7,Food & Non-Alcoholic Beverages
Johor,2010-08-01,01,100.7,2010,8,Food & Non-Alcoholic Beverages
Johor,2010-09-01,01,100.5,2010,9,Food & Non-Alcoholic Beverages
Johor,2010-10-01,01,100.5,2010,10,Food & Non-Alcoholic Beverages
Johor,2010-11-01,01,101.1,2010,11,Food & Non-Alcoholic Beverages
Johor,2010-12-01,01,101.2,2010,12,Food & Non-Alcoholic Beverages
Johor,2011-01-01,01,102.5,2011,1,Food & Non-Alcoholic Beverages
Johor,2011-02-01,01,104.1,2011,2,Food & Non-Alcoholic Beverages
Johor,2011-03-01,01,103.7,2011,3,Food & Non-Alcoholic Beverages
Johor,2011-04-01,01,103.8,2011,4,Food & Non-Alcoholic Beverages
Johor,2011-05-01,01,103.9,2011,5,Food & Non-Alcoholic Beverages
Johor,2011-06-01,01,105.5,2011,6,Food & Non-Alcoholic Beverages
Johor,2011-07-01,01,106.0,2011,7,Food & Non-Alcoholic Beverages
Johor,2011-08-01,01,105.7,2011,8,Food & Non-Alcoholic Beverages
Johor,2011-09-01,01,106.4,2011,9,Food & Non-Alcoholic Beverages
Johor,2011-10-01,01,107.4,2011,10,Food & Non-Alcoholic Beverages
Johor,2011-11-01,01,107.0,2011,11,Food & Non-Alcoholic Beverages
Johor,2011-12-01,01,107.6,2011,12,Food & Non-Alcoholic Beverages
Johor,2012-01-01,01,109.5,2012,1,Food & Non-Alcoholic Beverages
Johor,2012-02-01,01,107.5,2012,2,Food & Non-Alcoholic Beverages
Johor,2012-03-01,01,107.2,2012,3,Food & Non-Alcoholic Beverages
Johor,2012-04-01,01,106.9,2012,4,Food & Non-Alcoholic Beverages
Johor,2012-05-01,01,107.9,2012,5,Food & Non-Alcoholic Beverages
Johor,2012-06-01,01,108.5,2012,6,Food & Non-Alcoholic Beverages
Johor,2012-07-01,01,108.8,2012,7,Food & Non-Alcoholic Beverages
Johor,2012-08-01,01,109.1,2012,8,Food & Non-Alcoholic Beverages
Johor,2012-09-01,01,109.3,2012,9,Food & Non-Alcoholic Beverages
Johor,2012-10-01,01,109.4,2012,10,Food & Non-Alcoholic Beverages
Johor,2012-11-01,01,109.5,2012,11,Food & Non-Alcoholic Beverages
Johor,2012-12-01,01,110.0,2012,12,Food & Non-Alcoholic Beverages
Johor,2013-01-01,01,111.7,2013,1,Food & Non-Alcoholic Beverages
Johor,2013-02-01,01,112.2,2013,2,Food & Non-Alcoholic Beverages
Johor,2013-03-01,01,111.7,2013,3,Food & Non-Alcoholic Beverages
Johor,2013-04-01,01,111.4,2013,4,Food & Non-Alcoholic Beverages
Johor,2013-05-01,01,112.1,2013,5,Food & Non-Alcoholic Beverages
Johor,2013-06-01,01,112.5,2013,6,Food & Non-Alcoholic Beverages
Johor,2013-07-01,01,113.2,2013,7,Food & Non-Alcoholic Beverages
Johor,2013-08-01,01,113.5,2013,8,Food & Non-Alcoholic Beverages
Johor,2013-09-01,01,113.7,2013,9,Food & Non-Alcoholic Beverages
Johor,2013-10-01,01,113.8,2013,10,Food & Non-Alcoholic Beverages
Johor,2013-11-01,01,114.0,2013,11,Food & Non-Alcoholic Beverages
Johor,2013-12-01,01,115.6,2013,12,Food & Non-Alcoholic Beverages
Johor,2014-01-01,01,116.1,2014,1,Food & Non-Alcoholic Beverages
Johor,2014-02-01,01,116.0,2014,2,Food & Non-Alcoholic Beverages
Johor,2014-03-01,01,116.2,2014,3,Food & Non-Alcoholic Beverages
Johor,2014-04-01,01,116.2,2014,4,Food & Non-Alcoholic Beverages
Johor,2014-05-01,01,115.9,2014,5,Food & Non-Alcoholic Beverages
