date,ron95,ron97,diesel,avg_fuel
2017-03-01,2.13,2.41,2.11,2.216666666666667
2017-04-01,2.22,2.495,2.1475,2.2875
2017-05-01,2.08,2.36,2.0125,2.1508333333333334
2017-06-01,1.986,2.25,1.9120000000000001,2.0493333333333332
2017-07-01,1.9749999999999999,2.2275,1.955,2.0524999999999998
2017-08-01,2.13,2.402,2.04,2.1906666666666665
2017-09-01,2.19,2.4875,2.1025,2.2600000000000002
2017-10-01,2.18,2.48,2.1275,2.2624999999999997
2017-11-01,2.306,2.592,2.2199999999999998,2.3726666666666665
2017-12-01,2.2675,2.54,2.225,2.3441666666666667
2018-01-01,2.285,2.5549999999999997,2.3175,2.3858333333333333
2018-02-01,2.26,2.5300000000000002,2.2424999999999997,2.3441666666666667
2018-03-01,2.198,2.466,2.1740000000000004,2.279333333333333
2018-04-01,2.2,2.47,2.18,2.283333333333333
2018-05-01,2.2,2.47,2.18,2.283333333333333
2018-06-01,2.2,2.5875,2.18,2.3225
2018-07-01,2.2,2.5675,2.18,2.3158333333333334
2018-08-01,2.2,2.648,2.18,2.3426666666666667
2018-09-01,,,,
2018-10-01,2.2,2.79,2.18,2.39
2018-11-01,2.2,2.81,2.18,2.3966666666666665
2018-12-01,2.2,2.5,2.18,2.2933333333333334
2019-01-01,2.002,2.302,2.124,2.142666666666667
2019-02-01,1.99,2.29,2.18,2.1533333333333338
2019-03-01,2.08,2.534,2.18,2.264666666666667
2019-04-01,2.08,2.73,2.18,2.33
2019-05-01,2.08,2.735,2.18,2.3316666666666666
2019-06-01,2.08,2.4775,2.18,2.2458333333333336
2019-07-01,2.08,2.5825,2.18,2.2808333333333333
2019-08-01,2.08,2.5060000000000002,2.18,2.255333333333333
2019-09-01,2.08,2.6225,2.18,2.294166666666667
2019-10-01,2.08,2.635,2.18,2.2983333333333333
2019-11-01,2.08,2.63,2.18,2.296666666666667
2019-12-01,2.08,2.6225,2.18,2.294166666666667
2020-01-01,2.08,2.5725,2.18,2.2775
2020-02-01,2.068,2.378,2.134,2.1933333333333334
2020-03-01,1.6324999999999998,1.9275,1.815,1.7916666666666667
2020-04-01,1.2625,1.5625,1.4675,1.4308333333333334
2020-05-01,1.324,1.624,1.474,1.4740000000000002
2020-06-01,1.58,1.88,1.7475,1.7358333333333331
2020-07-01,1.6925,1.9925000000000002,1.85,1.845
2020-08-01,1.684,1.984,1.8039999999999998,1.8239999999999998
2020-09-01,1.67,1.97,1.72,1.7866666666666664
2020-10-01,1.668,1.968,1.722,1.7860000000000003
2020-11-01,1.635,1.935,1.77,1.78
2020-12-01,1.7525,2.0525,1.9425,1.9158333333333335
2021-01-01,1.8739999999999999,2.1740000000000004,2.0479999999999996,2.032
2021-02-01,1.9849999999999999,2.285,2.1399999999999997,2.1366666666666663
2021-03-01,2.05,2.43,2.15,2.2100000000000004
2021-04-01,2.05,2.552,2.15,2.250666666666667
2021-05-01,2.05,2.605,2.15,2.268333333333333
2021-06-01,2.05,2.655,2.15,2.285
2021-07-01,2.05,2.718,2.15,2.3059999999999996
2021-08-01,2.05,2.7350000000000003,2.15,2.311666666666667
2021-09-01,2.05,2.738,2.15,2.312666666666667
2021-10-01,2.05,2.87,2.15,2.356666666666667
2021-11-01,2.05,3.0675,2.15,2.4225
2021-12-01,2.05,3.0,2.15,2.4
2022-01-01,2.05,3.0725,2.15,2.4241666666666664
2022-02-01,2.05,3.2225,2.15,2.4741666666666666
2022-03-01,2.05,3.7880000000000003,2.15,2.6626666666666665
2022-04-01,2.05,3.8425000000000002,2.15,2.6808333333333336
2022-05-01,2.05,4.32,2.15,2.84
2022-06-01,2.05,4.786,2.15,2.995333333333333
2022-07-01,2.05,4.6875,2.15,2.9625
2022-08-01,2.05,4.3875,2.15,2.8625000000000003
2022-09-01,2.05,4.14,2.15,2.78
2022-10-01,2.05,3.95,2.15,2.716666666666667
2022-11-01,2.05,3.95,2.15,2.716666666666667
2022-12-01,2.05,3.5700000000000003,2.15,2.59
2023-01-01,2.05,3.35,2.15,2.516666666666667
2023-02-01,2.05,3.35,2.15,2.516666666666667
2023-03-01,2.05,3.35,2.15,2.516666666666667
2023-04-01,2.05,3.35,2.15,2.516666666666667
2023-05-01,2.05,3.35,2.15,2.516666666666667
2023-06-01,2.05,3.37,2.15,2.5233333333333334
2023-07-01,2.05,3.37,2.15,2.5233333333333334
2023-08-01,2.05,3.37,2.15,2.5233333333333334
2023-09-01,2.05,3.37,2.15,2.5233333333333334
2023-10-01,2.05,3.42,2.15,2.5399999999999996
2023-11-01,2.05,3.47,2.15,2.5566666666666666
2023-12-01,2.05,3.47,2.15,2.5566666666666666
2024-01-01,2.05,3.47,2.15,2.5566666666666666
2024-02-01,2.05,3.47,2.15,2.5566666666666666
2024-03-01,2.05,3.47,2.15,2.5566666666666666
2024-04-01,2.05,3.47,2.15,2.5566666666666666
2024-05-01,2.05,3.47,2.15,2.5566666666666666
2024-06-01,2.05,3.47,3.1100000000000003,2.8766666666666665
2024-07-01,2.05,3.47,3.35,2.9566666666666666
2024-08-01,2.05,3.46,3.2619999999999996,2.9239999999999995
2024-09-01,2.05,3.2575,3.0175,2.775
2024-10-01,2.05,3.19,2.95,2.7300000000000004
2024-11-01,2.05,3.19,2.95,2.7300000000000004
2024-12-01,2.05,3.2125,2.95,2.7374999999999994
