state,year,gini
Johor,1974,0.439
Johor,1975,0.45399999999999996
Johor,1976,0.469
Johor,1977,0.45999999999999996
Johor,1978,0.451
Johor,1979,0.442
Johor,1980,0.4344
Johor,1981,0.4268
Johor,1982,0.4192
Johor,1983,0.4116
Johor,1984,0.404
Johor,1985,0.398
Johor,1986,0.392
Johor,1987,0.386
Johor,1988,0.3835
Johor,1989,0.381
Johor,1990,0.395
Johor,1991,0.409
Johor,1992,0.423
Johor,1993,0.415
Johor,1994,0.40700000000000003
Johor,1995,0.399
Johor,1996,0.398
Johor,1997,0.397
Johor,1998,0.3915
Johor,1999,0.386
Johor,2000,0.3933333333333333
Johor,2001,0.40066666666666667
Johor,2002,0.408
Johor,2003,0.40149999999999997
Johor,2004,0.395
Johor,2005,0.386
Johor,2006,0.377
Johor,2007,0.368
Johor,2008,0.3805
Johor,2009,0.393
Johor,2010,0.38966666666666666
Johor,2011,0.38633333333333336
Johor,2012,0.383
Johor,2013,0.35350000000000004
Johor,2014,0.324
Johor,2015,0.33899999999999997
Johor,2016,0.354
Johor,2017,0.358
Johor,2018,0.362
Johor,2019,0.366
Johor,2020,0.366
Johor,2021,0.366
Johor,2022,0.366
Kedah,1974,0.523
Kedah,1975,0.51
Kedah,1976,0.497
Kedah,1977,0.48733333333333334
Kedah,1978,0.4776666666666667
Kedah,1979,0.468
Kedah,1980,0.4696
Kedah,1981,0.4712
Kedah,1982,0.4728
Kedah,1983,0.4744
Kedah,1984,0.476
Kedah,1985,0.46199999999999997
Kedah,1986,0.448
Kedah,1987,0.434
Kedah,1988,0.431
Kedah,1989,0.428
Kedah,1990,0.42966666666666664
Kedah,1991,0.43133333333333335
Kedah,1992,0.433
Kedah,1993,0.424
Kedah,1994,0.41500000000000004
Kedah,1995,0.406
Kedah,1996,0.4175
Kedah,1997,0.429
Kedah,1998,0.419
Kedah,1999,0.409
Kedah,2000,0.41466666666666663
Kedah,2001,0.42033333333333334
Kedah,2002,0.426
Kedah,2003,0.4065
Kedah,2004,0.387
Kedah,2005,0.38866666666666666
Kedah,2006,0.39033333333333337
Kedah,2007,0.392
Kedah,2008,0.4
Kedah,2009,0.408
Kedah,2010,0.4023333333333333
Kedah,2011,0.39666666666666667
Kedah,2012,0.391
Kedah,2013,0.378
Kedah,2014,0.365
Kedah,2015,0.379
Kedah,2016,0.393
Kedah,2017,0.38
Kedah,2018,0.367
Kedah,2019,0.354
Kedah,2020,0.35566666666666663
Kedah,2021,0.35733333333333334
Kedah,2022,0.359
Kelantan,1974,0.612
Kelantan,1975,0.5585
Kelantan,1976,0.505
Kelantan,1977,0.4826666666666667
Kelantan,1978,0.4603333333333333
Kelantan,1979,0.438
Kelantan,1980,0.4432
Kelantan,1981,0.4484
Kelantan,1982,0.4536
Kelantan,1983,0.45880000000000004
Kelantan,1984,0.464
Kelantan,1985,0.44733333333333336
Kelantan,1986,0.43066666666666664
Kelantan,1987,0.414
Kelantan,1988,0.4105
Kelantan,1989,0.407
Kelantan,1990,0.42166666666666663
Kelantan,1991,0.43633333333333335
Kelantan,1992,0.451
Kelantan,1993,0.448
Kelantan,1994,0.445
Kelantan,1995,0.442
Kelantan,1996,0.442
Kelantan,1997,0.442
Kelantan,1998,0.433
Kelantan,1999,0.424
Kelantan,2000,0.43066666666666664
Kelantan,2001,0.43733333333333335
Kelantan,2002,0.444
Kelantan,2003,0.43
Kelantan,2004,0.416
Kelantan,2005,0.41233333333333333
Kelantan,2006,0.4086666666666667
Kelantan,2007,0.405
Kelantan,2008,0.4165
Kelantan,2009,0.428
Kelantan,2010,0.422
Kelantan,2011,0.416
Kelantan,2012,0.41
Kelantan,2013,0.40149999999999997
Kelantan,2014,0.393
Kelantan,2015,0.391
Kelantan,2016,0.389
Kelantan,2017,0.38533333333333336
Kelantan,2018,0.38166666666666665
Kelantan,2019,0.378
Kelantan,2020,0.38033333333333336
Kelantan,2021,0.38266666666666665
Kelantan,2022,0.385
Melaka,1974,0.506
Melaka,1975,0.532
Melaka,1976,0.558
Melaka,1977,0.5293333333333333
Melaka,1978,0.5006666666666667
Melaka,1979,0.472
Melaka,1980,0.4652
Melaka,1981,0.4584
Melaka,1982,0.4516
Melaka,1983,0.4448
Melaka,1984,0.438
Melaka,1985,0.42633333333333334
Melaka,1986,0.4146666666666667
Melaka,1987,0.403
Melaka,1988,0.3995
Melaka,1989,0.396
Melaka,1990,0.39633333333333337
Melaka,1991,0.39666666666666667
Melaka,1992,0.397
Melaka,1993,0.39766666666666667
Melaka,1994,0.3983333333333334
Melaka,1995,0.399
Melaka,1996,0.385
Melaka,1997,0.371
Melaka,1998,0.385
Melaka,1999,0.399
Melaka,2000,0.39466666666666667
Melaka,2001,0.39033333333333337
Melaka,2002,0.386
Melaka,2003,0.369
Melaka,2004,0.352
Melaka,2005,0.36133333333333334
Melaka,2006,0.37066666666666664
Melaka,2007,0.38
Melaka,2008,0.39549999999999996
Melaka,2009,0.411
Melaka,2010,0.3923333333333333
Melaka,2011,0.37366666666666665
Melaka,2012,0.355
Melaka,2013,0.3355
Melaka,2014,0.316
Melaka,2015,0.3265
Melaka,2016,0.337
Melaka,2017,0.35233333333333333
Melaka,2018,0.3676666666666667
Melaka,2019,0.383
Melaka,2020,0.37866666666666665
Melaka,2021,0.37433333333333335
Melaka,2022,0.37
Negeri Sembilan,1974,0.465
Negeri Sembilan,1975,0.47750000000000004
Negeri Sembilan,1976,0.49
Negeri Sembilan,1977,0.4706666666666667
Negeri Sembilan,1978,0.4513333333333333
Negeri Sembilan,1979,0.432
Negeri Sembilan,1980,0.43
Negeri Sembilan,1981,0.428
Negeri Sembilan,1982,0.426
Negeri Sembilan,1983,0.424
Negeri Sembilan,1984,0.422
Negeri Sembilan,1985,0.425
Negeri Sembilan,1986,0.428
Negeri Sembilan,1987,0.431
Negeri Sembilan,1988,0.39849999999999997
Negeri Sembilan,1989,0.366
Negeri Sembilan,1990,0.37933333333333336
Negeri Sembilan,1991,0.39266666666666666
Negeri Sembilan,1992,0.406
Negeri Sembilan,1993,0.39866666666666667
Negeri Sembilan,1994,0.39133333333333337
Negeri Sembilan,1995,0.384
Negeri Sembilan,1996,0.396
Negeri Sembilan,1997,0.408
Negeri Sembilan,1998,0.4
Negeri Sembilan,1999,0.392
Negeri Sembilan,2000,0.395
Negeri Sembilan,2001,0.398
Negeri Sembilan,2002,0.401
Negeri Sembilan,2003,0.3905
Negeri Sembilan,2004,0.38
Negeri Sembilan,2005,0.38166666666666665
Negeri Sembilan,2006,0.38333333333333336
Negeri Sembilan,2007,0.385
Negeri Sembilan,2008,0.3785
Negeri Sembilan,2009,0.372
Negeri Sembilan,2010,0.37533333333333335
Negeri Sembilan,2011,0.37866666666666665
Negeri Sembilan,2012,0.382
Negeri Sembilan,2013,0.3715
Negeri Sembilan,2014,0.361
Negeri Sembilan,2015,0.3705
Negeri Sembilan,2016,0.38
Negeri Sembilan,2017,0.38366666666666666
Negeri Sembilan,2018,0.38733333333333336
Negeri Sembilan,2019,0.391
Negeri Sembilan,2020,0.38366666666666666
Negeri Sembilan,2021,0.37633333333333335
Negeri Sembilan,2022,0.369
Pahang,1974,0.445
Pahang,1975,0.4145
Pahang,1976,0.384
Pahang,1977,0.41533333333333333
