state,date,gini,year
Johor,1974-01-01,0.439,1974
Johor,1976-01-01,0.469,1976
Johor,1979-01-01,0.442,1979
Johor,1984-01-01,0.404,1984
Johor,1987-01-01,0.386,1987
Johor,1989-01-01,0.381,1989
Johor,1992-01-01,0.423,1992
Johor,1995-01-01,0.399,1995
Johor,1997-01-01,0.397,1997
Johor,1999-01-01,0.386,1999
Johor,2002-01-01,0.408,2002
Johor,2004-01-01,0.395,2004
Johor,2007-01-01,0.368,2007
Johor,2009-01-01,0.393,2009
Johor,2012-01-01,0.383,2012
Johor,2014-01-01,0.324,2014
Johor,2016-01-01,0.354,2016
Johor,2019-01-01,0.366,2019
Johor,2022-01-01,0.366,2022
Kedah,1974-01-01,0.523,1974
Kedah,1976-01-01,0.497,1976
Kedah,1979-01-01,0.468,1979
Kedah,1984-01-01,0.476,1984
Kedah,1987-01-01,0.434,1987
Kedah,1989-01-01,0.428,1989
Kedah,1992-01-01,0.433,1992
Kedah,1995-01-01,0.406,1995
Kedah,1997-01-01,0.429,1997
Kedah,1999-01-01,0.409,1999
Kedah,2002-01-01,0.426,2002
Kedah,2004-01-01,0.387,2004
Kedah,2007-01-01,0.392,2007
Kedah,2009-01-01,0.408,2009
Kedah,2012-01-01,0.391,2012
Kedah,2014-01-01,0.365,2014
Kedah,2016-01-01,0.393,2016
Kedah,2019-01-01,0.354,2019
Kedah,2022-01-01,0.359,2022
Kelantan,1974-01-01,0.612,1974
Kelantan,1976-01-01,0.505,1976
Kelantan,1979-01-01,0.438,1979
Kelantan,1984-01-01,0.464,1984
Kelantan,1987-01-01,0.414,1987
Kelantan,1989-01-01,0.407,1989
Kelantan,1992-01-01,0.451,1992
Kelantan,1995-01-01,0.442,1995
Kelantan,1997-01-01,0.442,1997
Kelantan,1999-01-01,0.424,1999
Kelantan,2002-01-01,0.444,2002
Kelantan,2004-01-01,0.416,2004
Kelantan,2007-01-01,0.405,2007
Kelantan,2009-01-01,0.428,2009
Kelantan,2012-01-01,0.41,2012
Kelantan,2014-01-01,0.393,2014
Kelantan,2016-01-01,0.389,2016
Kelantan,2019-01-01,0.378,2019
Kelantan,2022-01-01,0.385,2022
Melaka,1974-01-01,0.506,1974
Melaka,1976-01-01,0.558,1976
Melaka,1979-01-01,0.472,1979
Melaka,1984-01-01,0.438,1984
Melaka,1987-01-01,0.403,1987
Melaka,1989-01-01,0.396,1989
Melaka,1992-01-01,0.397,1992
Melaka,1995-01-01,0.399,1995
Melaka,1997-01-01,0.371,1997
Melaka,1999-01-01,0.399,1999
Melaka,2002-01-01,0.386,2002
Melaka,2004-01-01,0.352,2004
Melaka,2007-01-01,0.38,2007
Melaka,2009-01-01,0.411,2009
Melaka,2012-01-01,0.355,2012
Melaka,2014-01-01,0.316,2014
Melaka,2016-01-01,0.337,2016
Melaka,2019-01-01,0.383,2019
Melaka,2022-01-01,0.37,2022
Negeri Sembilan,1974-01-01,0.465,1974
Negeri Sembilan,1976-01-01,0.49,1976
Negeri Sembilan,1979-01-01,0.432,1979
Negeri Sembilan,1984-01-01,0.422,1984
Negeri Sembilan,1987-01-01,0.431,1987
Negeri Sembilan,1989-01-01,0.366,1989
Negeri Sembilan,1992-01-01,0.406,1992
Negeri Sembilan,1995-01-01,0.384,1995
Negeri Sembilan,1997-01-01,0.408,1997
Negeri Sembilan,1999-01-01,0.392,1999
Negeri Sembilan,2002-01-01,0.401,2002
Negeri Sembilan,2004-01-01,0.38,2004
Negeri Sembilan,2007-01-01,0.385,2007
Negeri Sembilan,2009-01-01,0.372,2009
Negeri Sembilan,2012-01-01,0.382,2012
Negeri Sembilan,2014-01-01,0.361,2014
Negeri Sembilan,2016-01-01,0.38,2016
