date,state,district,income_mean,income_median,expenditure_mean,gini,poverty,year,savings_rate,income_expenditure_ratio
2022-01-01,Johor,Batu Pahat,7419,6347,4570,0.3383,5.1,2022,38.40140180617334,1.6234135667396061
2022-01-01,Johor,Johor Bahru,9869,8232,6139,0.3585,3.7,2022,37.79511601986017,1.6075908128359668
2022-01-01,Johor,Kluang,6461,5204,4399,0.35367,7.2,2022,31.914564308930505,1.4687428961127529
2022-01-01,Johor,Kota Tinggi,7529,6227,4498,0.34335,5.0,2022,40.25767034134679,1.6738550466874167
2022-01-01,Johor,Mersing,5426,4445,4032,0.33877,12.7,2022,25.69111684482123,1.345734126984127
2022-01-01,Johor,Muar,7572,5724,4740,0.39413,6.1,2022,37.400950871632325,1.5974683544303798
2022-01-01,Johor,Pontian,6913,5616,4535,0.36093,5.1,2022,34.39895848401562,1.5243660418963616
2022-01-01,Johor,Segamat,6578,5318,4426,0.33996,7.4,2022,32.715110975980544,1.4862178038861273
2022-01-01,Johor,Kulai,9177,7460,5646,0.33673,0.4,2022,38.4766263484799,1.6253985122210415
2022-01-01,Johor,Tangkak,7093,5622,4198,0.37081,6.9,2022,40.8148879176653,1.689614101953311
2022-01-01,Kedah,Baling,4263,3400,2732,0.34655,14.4,2022,35.913675815153645,1.5603953147877012
2022-01-01,Kedah,Bandar Baharu,4565,3922,2751,0.29146,3.9,2022,39.73713033953998,1.6593965830607051
2022-01-01,Kedah,Kota Setar,5959,4751,4253,0.34795,5.1,2022,28.62896459137439,1.401128615095227
2022-01-01,Kedah,Kuala Muda,5624,4200,3840,0.40406,13.8,2022,31.721194879089616,1.4645833333333333
2022-01-01,Kedah,Kubang Pasu,6221,5201,4062,0.32483,3.3,2022,34.705031345442855,1.5315115706548499
2022-01-01,Kedah,Kulim,5636,4498,3647,0.35851,11.4,2022,35.29098651525905,1.545379764189745
2022-01-01,Kedah,Langkawi,6087,5250,3680,0.30215,5.7,2022,39.54328897650731,1.6540760869565216
2022-01-01,Kedah,Padang Terap,4858,3902,3751,0.32346,8.9,2022,22.78715520790449,1.2951213009864035
2022-01-01,Kedah,Sik,5053,3703,3530,0.33313,4.0,2022,30.140510587769644,1.431444759206799
2022-01-01,Kedah,Yan,4637,4080,3339,0.29118,6.0,2022,27.992236359715335,1.3887391434561245
2022-01-01,Kedah,Pendang,4986,3801,3562,0.34864,7.3,2022,28.559967910148416,1.399775407074677
2022-01-01,Kedah,Pokok Sena,5494,4668,4033,0.31026,7.2,2022,26.592646523480163,1.36226134391272
2022-01-01,Kelantan,Bachok,4811,3625,3282,0.3743,12.1,2022,31.78133444190397,1.4658744667885435
2022-01-01,Kelantan,Kota Bharu,5693,4330,3886,0.38399,10.5,2022,31.74073423502547,1.4650025733401957
2022-01-01,Kelantan,Machang,4987,3429,3267,0.41379,12.0,2022,34.4896731501905,1.5264768901132537
2022-01-01,Kelantan,Pasir Mas,4602,3508,3225,0.3622,9.0,2022,29.921773142112123,1.4269767441860466
2022-01-01,Kelantan,Pasir Puteh,4712,3453,3525,0.37796,15.9,2022,25.19100169779287,1.3367375886524824
2022-01-01,Kelantan,Tanah Merah,4177,2991,3247,0.37742,17.9,2022,22.264783337323436,1.2864182322143518
2022-01-01,Kelantan,Tumpat,4741,3749,3831,0.36652,13.5,2022,19.19426281375237,1.237535891412164
2022-01-01,Kelantan,Gua Musang,4473,3342,3625,0.36024,18.5,2022,18.958193606080933,1.2339310344827585
2022-01-01,Kelantan,Kuala Krai,3798,2763,2853,0.39889,22.4,2022,24.881516587677723,1.3312302839116719
