state,district,date,poverty_absolute,poverty_relative,year
Johor,Batu Pahat,2019-01-01,2.9,9.0,2019
Johor,Batu Pahat,2022-01-01,5.1,19.4,2022
Johor,Johor Bahru,2019-01-01,3.3,12.8,2019
Johor,Johor Bahru,2022-01-01,3.7,10.4,2022
Johor,Kluang,2019-01-01,5.0,24.9,2019
Johor,Kluang,2022-01-01,7.2,27.4,2022
Johor,Kota Tinggi,2019-01-01,6.0,20.8,2019
Johor,Kota Tinggi,2022-01-01,5.0,17.0,2022
Johor,Kulai,2019-01-01,3.2,10.1,2019
Johor,Kulai,2022-01-01,0.4,7.4,2022
Johor,Mersing,2019-01-01,12.1,41.2,2019
Johor,Mersing,2022-01-01,12.7,33.1,2022
Johor,Muar,2019-01-01,4.1,14.8,2019
Johor,Muar,2022-01-01,6.1,23.5,2022
Johor,Pontian,2019-01-01,5.8,23.0,2019
Johor,Pontian,2022-01-01,5.1,21.1,2022
Johor,Segamat,2019-01-01,2.9,20.5,2019
Johor,Segamat,2022-01-01,7.4,23.3,2022
Johor,Tangkak,2019-01-01,3.7,16.7,2019
Johor,Tangkak,2022-01-01,6.9,28.2,2022
Kedah,Baling,2019-01-01,17.9,23.9,2019
Kedah,Baling,2022-01-01,14.4,19.7,2022
Kedah,Bandar Baharu,2019-01-01,7.2,12.6,2019
Kedah,Bandar Baharu,2022-01-01,3.9,14.5,2022
Kedah,Kota Setar,2019-01-01,6.4,8.1,2019
Kedah,Kota Setar,2022-01-01,5.1,9.5,2022
Kedah,Kuala Muda,2019-01-01,10.9,13.7,2019
Kedah,Kuala Muda,2022-01-01,13.8,15.7,2022
Kedah,Kubang Pasu,2019-01-01,4.8,5.5,2019
Kedah,Kubang Pasu,2022-01-01,3.3,6.1,2022
Kedah,Kulim,2019-01-01,9.9,10.5,2019
Kedah,Kulim,2022-01-01,11.4,11.3,2022
Kedah,Langkawi,2019-01-01,0.9,1.3,2019
Kedah,Langkawi,2022-01-01,5.7,5.5,2022
Kedah,Padang Terap,2019-01-01,9.1,5.3,2019
Kedah,Padang Terap,2022-01-01,8.9,11.3,2022
Kedah,Pendang,2019-01-01,8.1,9.5,2019
Kedah,Pendang,2022-01-01,7.3,12.5,2022
Kedah,Pokok Sena,2019-01-01,7.3,8.6,2019
Kedah,Pokok Sena,2022-01-01,7.2,9.2,2022
Kedah,Sik,2019-01-01,7.6,8.9,2019
Kedah,Sik,2022-01-01,4.0,9.4,2022
Kedah,Yan,2019-01-01,12.7,24.1,2019
Kedah,Yan,2022-01-01,6.0,12.4,2022
Kelantan,Bachok,2019-01-01,13.1,10.7,2019
Kelantan,Bachok,2022-01-01,12.1,10.4,2022
Kelantan,Gua Musang,2019-01-01,17.2,16.3,2019
Kelantan,Gua Musang,2022-01-01,18.5,12.0,2022
Kelantan,Jeli,2019-01-01,18.5,9.6,2019
Kelantan,Jeli,2022-01-01,11.3,17.9,2022
Kelantan,Kecil Lojing,2019-01-01,33.3,11.1,2019
Kelantan,Kecil Lojing,2022-01-01,43.8,43.8,2022
Kelantan,Kota Bharu,2019-01-01,9.1,7.5,2019
Kelantan,Kota Bharu,2022-01-01,10.5,7.5,2022
Kelantan,Kuala Krai,2019-01-01,22.4,17.3,2019
Kelantan,Kuala Krai,2022-01-01,22.4,30.6,2022
Kelantan,Machang,2019-01-01,7.1,8.8,2019
Kelantan,Machang,2022-01-01,12.0,14.6,2022
Kelantan,Pasir Mas,2019-01-01,13.1,9.5,2019
Kelantan,Pasir Mas,2022-01-01,9.0,10.9,2022
Kelantan,Pasir Puteh,2019-01-01,12.7,12.1,2019
Kelantan,Pasir Puteh,2022-01-01,15.9,12.3,2022
Kelantan,Tanah Merah,2019-01-01,12.0,8.9,2019
Kelantan,Tanah Merah,2022-01-01,17.9,14.7,2022
Kelantan,Tumpat,2019-01-01,12.5,8.7,2019
Kelantan,Tumpat,2022-01-01,13.5,11.2,2022
Melaka,Alor Gajah,2019-01-01,3.8,18.8,2019
Melaka,Alor Gajah,2022-01-01,4.8,14.1,2022
Melaka,Jasin,2019-01-01,3.0,17.4,2019
Melaka,Jasin,2022-01-01,5.5,16.0,2022
Melaka,Melaka Tengah,2019-01-01,4.2,16.2,2019
Melaka,Melaka Tengah,2022-01-01,3.7,12.2,2022
Negeri Sembilan,Jelebu,2019-01-01,5.2,18.4,2019
Negeri Sembilan,Jelebu,2022-01-01,7.3,29.9,2022
Negeri Sembilan,Jempol,2019-01-01,6.2,14.4,2019
Negeri Sembilan,Jempol,2022-01-01,8.0,21.8,2022
Negeri Sembilan,Kuala Pilah,2019-01-01,8.3,23.0,2019
Negeri Sembilan,Kuala Pilah,2022-01-01,6.8,31.5,2022
Negeri Sembilan,Port Dickson,2019-01-01,4.3,10.0,2019
Negeri Sembilan,Port Dickson,2022-01-01,4.9,13.8,2022
Negeri Sembilan,Rembau,2019-01-01,5.7,20.8,2019
Negeri Sembilan,Rembau,2022-01-01,3.0,19.0,2022
Negeri Sembilan,Seremban,2019-01-01,3.2,7.9,2019
