state,district,poverty_abs_2019,poverty_abs_2022,poverty_rel_2019,poverty_rel_2022,poverty_abs_change,poverty_rel_change
Johor,Batu Pahat,2.9,5.1,9.0,19.4,2.1999999999999997,10.399999999999999
Johor,Johor Bahru,3.3,3.7,12.8,10.4,0.40000000000000036,-2.4000000000000004
Johor,Kluang,5.0,7.2,24.9,27.4,2.2,2.5
Johor,Kota Tinggi,6.0,5.0,20.8,17.0,-1.0,-3.8000000000000007
Johor,Kulai,3.2,0.4,10.1,7.4,-2.8000000000000003,-2.6999999999999993
Johor,Mersing,12.1,12.7,41.2,33.1,0.5999999999999996,-8.100000000000001
Johor,Muar,4.1,6.1,14.8,23.5,2.0,8.7
Johor,Pontian,5.8,5.1,23.0,21.1,-0.7000000000000002,-1.8999999999999986
Johor,Segamat,2.9,7.4,20.5,23.3,4.5,2.8000000000000007
Johor,Tangkak,3.7,6.9,16.7,28.2,3.2,11.5
Kedah,Baling,17.9,14.4,23.9,19.7,-3.4999999999999982,-4.199999999999999
Kedah,Bandar Baharu,7.2,3.9,12.6,14.5,-3.3000000000000003,1.9000000000000004
Kedah,Kota Setar,6.4,5.1,8.1,9.5,-1.3000000000000007,1.4000000000000004
Kedah,Kuala Muda,10.9,13.8,13.7,15.7,2.9000000000000004,2.0
Kedah,Kubang Pasu,4.8,3.3,5.5,6.1,-1.5,0.5999999999999996
Kedah,Kulim,9.9,11.4,10.5,11.3,1.5,0.8000000000000007
Kedah,Langkawi,0.9,5.7,1.3,5.5,4.8,4.2
Kedah,Padang Terap,9.1,8.9,5.3,11.3,-0.1999999999999993,6.000000000000001
Kedah,Pendang,8.1,7.3,9.5,12.5,-0.7999999999999998,3.0
Kedah,Pokok Sena,7.3,7.2,8.6,9.2,-0.09999999999999964,0.5999999999999996
Kedah,Sik,7.6,4.0,8.9,9.4,-3.5999999999999996,0.5
Kedah,Yan,12.7,6.0,24.1,12.4,-6.699999999999999,-11.700000000000001
Kelantan,Bachok,13.1,12.1,10.7,10.4,-1.0,-0.29999999999999893
Kelantan,Gua Musang,17.2,18.5,16.3,12.0,1.3000000000000007,-4.300000000000001
Kelantan,Jeli,18.5,11.3,9.6,17.9,-7.199999999999999,8.299999999999999
Kelantan,Kecil Lojing,33.3,43.8,11.1,43.8,10.5,32.699999999999996
Kelantan,Kota Bharu,9.1,10.5,7.5,7.5,1.4000000000000004,0.0
Kelantan,Kuala Krai,22.4,22.4,17.3,30.6,0.0,13.3
Kelantan,Machang,7.1,12.0,8.8,14.6,4.9,5.799999999999999
Kelantan,Pasir Mas,13.1,9.0,9.5,10.9,-4.1,1.4000000000000004
Kelantan,Pasir Puteh,12.7,15.9,12.1,12.3,3.200000000000001,0.20000000000000107
Kelantan,Tanah Merah,12.0,17.9,8.9,14.7,5.899999999999999,5.799999999999999
Kelantan,Tumpat,12.5,13.5,8.7,11.2,1.0,2.5
Melaka,Alor Gajah,3.8,4.8,18.8,14.1,1.0,-4.700000000000001
Melaka,Jasin,3.0,5.5,17.4,16.0,2.5,-1.3999999999999986
Melaka,Melaka Tengah,4.2,3.7,16.2,12.2,-0.5,-4.0
Negeri Sembilan,Jelebu,5.2,7.3,18.4,29.9,2.0999999999999996,11.5
Negeri Sembilan,Jempol,6.2,8.0,14.4,21.8,1.7999999999999998,7.4
Negeri Sembilan,Kuala Pilah,8.3,6.8,23.0,31.5,-1.5000000000000009,8.5
Negeri Sembilan,Port Dickson,4.3,4.9,10.0,13.8,0.6000000000000005,3.8000000000000007
Negeri Sembilan,Rembau,5.7,3.0,20.8,19.0,-2.7,-1.8000000000000007
Negeri Sembilan,Seremban,3.2,3.0,7.9,7.5,-0.20000000000000018,-0.40000000000000036
Negeri Sembilan,Tampin,4.8,7.3,18.6,21.5,2.5,2.8999999999999986
Pahang,Bentong,3.3,2.8,3.9,0.0,-0.5,-3.9
Pahang,Bera,2.9,8.5,8.5,10.0,5.6,1.5
Pahang,Cameron Highlands,0.4,1.9,1.3,0.0,1.5,-1.3
Pahang,Jerantut,9.9,8.6,10.0,15.3,-1.3000000000000007,5.300000000000001
Pahang,Kuantan,1.8,4.1,3.0,5.0,2.3,2.0
Pahang,Lipis,5.8,9.2,8.4,8.6,3.3999999999999995,0.1999999999999993
Pahang,Maran,6.4,8.8,8.4,12.1,2.4000000000000004,3.6999999999999993
Pahang,Pekan,6.6,11.6,8.9,15.4,5.0,6.5
