state,mean_cpi_index,cpi_volatility,cpi_growth_rate,income_mean_latest,income_median_latest
Johor,120.54183673469389,11.971379745850554,42.55533199195169,8517,6879.0
Kedah,115.9857142857143,8.619500848181087,31.024096385542176,5550,4402.0
Kelantan,117.29897959183673,9.12515255816787,32.088799192734626,4885,3614.0
Melaka,116.67857142857143,9.3869494785484,33.56783919597991,8057,6210.0
Negeri Sembilan,118.12806122448978,10.234786248632952,36.958710976837864,6788,5226.0
Pahang,116.85765306122448,9.800512419991136,36.41851106639838,5777,4753.0
Perak,115.11836734693878,8.871236689306482,30.985915492957727,5779,4494.0
Perlis,113.46122448979592,7.864345150537431,29.191919191919197,5664,4713.0
Pulau Pinang,119.35612244897959,11.48202668009291,40.241448692152915,8267,6502.0
Sabah,112.75714285714287,6.865252530511329,26.76056338028168,6171,4577.0
Sarawak,114.62602040816327,8.518937364790387,30.141129032258057,6457,4978.0
Selangor,120.75918367346938,12.761619837178008,44.612286002014095,12233,9983.0
Terengganu,115.32193877551019,8.60147144933169,32.05645161290322,7248,5878.0
W.P. Kuala Lumpur,118.40306122448979,11.173764639631264,38.32997987927564,13325,10234.0
W.P. Labuan,115.2795918367347,6.997830567616037,27.867203219315883,8250,6904.0
W.P. Putrajaya,119.8984693877551,13.222174370394196,44.33299899699097,13473,10056.0
