state,mean_cpi_index,cpi_growth_rate,cpi_volatility,income_mean_latest,income_median_latest,cluster,pc1,pc2,cluster_label
Johor,120.54183673469389,42.55533199195169,11.971379745850554,8517,6879.0,0,2.1157267119602086,-1.1464212998955317,Mid-Low Income & Mid-Low CPI
Kedah,115.9857142857143,31.024096385542176,8.619500848181087,5550,4402.0,1,-1.509686942875688,-0.4159396725395865,Low Income & Low CPI
Kelantan,117.29897959183673,32.088799192734626,9.12515255816787,4885,3614.0,1,-1.3194958902120595,-1.1404072974677166,Low Income & Low CPI
Melaka,116.67857142857143,33.56783919597991,9.3869494785484,8057,6210.0,1,-0.20375378818276768,0.19868786468459476,Low Income & Low CPI
Negeri Sembilan,118.12806122448978,36.958710976837864,10.234786248632952,6788,5226.0,0,0.1512927296860578,-0.9206317596495426,Mid-Low Income & Mid-Low CPI
Pahang,116.85765306122448,36.41851106639838,9.800512419991136,5777,4753.0,0,-0.49940961824483426,-0.9356295245204361,Mid-Low Income & Mid-Low CPI
Perak,115.11836734693878,30.985915492957727,8.871236689306482,5779,4494.0,1,-1.55765919522434,-0.2330957389862211,Low Income & Low CPI
Perlis,113.46122448979592,29.191919191919197,7.864345150537431,5664,4713.0,1,-2.23954486377346,0.3605301918838603,Low Income & Low CPI
Pulau Pinang,119.35612244897959,40.241448692152915,11.48202668009291,8267,6502.0,0,1.462831220503829,-0.8790419360359204,Mid-Low Income & Mid-Low CPI
Sabah,112.75714285714287,26.76056338028168,6.865252530511329,6171,4577.0,1,-2.7668461257034798,0.858851508510267,Low Income & Low CPI
Sarawak,114.62602040816327,30.141129032258057,8.518937364790387,6457,4978.0,1,-1.598331505820773,0.23172950208576348,Low Income & Low CPI
Selangor,120.75918367346938,44.612286002014095,12.761619837178008,12233,9983.0,0,3.7597817267718234,0.17688113215662274,Mid-Low Income & Mid-Low CPI
Terengganu,115.32193877551019,32.05645161290322,8.60147144933169,7248,5878.0,1,-0.9762276811889838,0.3937665318318242,Low Income & Low CPI
W.P. Kuala Lumpur,118.40306122448979,38.32997987927564,11.173764639631264,13325,10234.0,0,2.6325240574778297,1.5096747599202656,Mid-Low Income & Mid-Low CPI
W.P. Labuan,115.2795918367347,27.867203219315883,6.997830567616037,8250,6904.0,1,-1.3541469519850036,1.397814653273898,Low Income & Low CPI
W.P. Putrajaya,119.8984693877551,44.33299899699097,13.222174370394196,13473,10056.0,0,3.9029461168116426,0.5432310847478609,Mid-Low Income & Mid-Low CPI
