date,division,inflation_yoy,inflation_mom
1980-02-01,overall,,0.5
1980-03-01,overall,,0.0
1980-04-01,overall,,-0.5
1980-05-01,overall,,1.0
1980-06-01,overall,,1.0
1980-07-01,overall,,0.7
1980-08-01,overall,,1.0
1980-09-01,overall,,-0.2
1980-10-01,overall,,0.5
1980-11-01,overall,,1.4
1980-12-01,overall,,0.7
1981-01-01,overall,8.2,1.9
1981-02-01,overall,8.9,1.1
1981-03-01,overall,9.9,0.9
1981-04-01,overall,10.9,0.5
1981-05-01,overall,10.3,0.4
1981-06-01,overall,10.0,0.7
1981-07-01,overall,10.2,0.9
1981-08-01,overall,9.8,0.7
1981-09-01,overall,10.6,0.4
1981-10-01,overall,10.0,0.0
1981-11-01,overall,8.7,0.2
1981-12-01,overall,8.4,0.4
1982-01-01,overall,7.6,1.1
1982-02-01,overall,7.0,0.6
1982-03-01,overall,6.3,0.2
1982-04-01,overall,6.3,0.4
1982-05-01,overall,6.0,0.2
1982-06-01,overall,5.8,0.4
1982-07-01,overall,5.5,0.6
1982-08-01,overall,5.0,0.2
1982-09-01,overall,4.6,0.0
1982-10-01,overall,4.3,-0.2
1982-11-01,overall,5.2,1.0
1982-12-01,overall,5.2,0.4
1983-01-01,overall,5.1,1.0
1983-02-01,overall,4.0,-0.4
1983-03-01,overall,4.0,0.2
1983-04-01,overall,3.6,0.0
1983-05-01,overall,4.0,0.6
1983-06-01,overall,3.8,0.2
1983-07-01,overall,3.3,0.2
1983-08-01,overall,3.1,0.0
1983-09-01,overall,3.5,0.4
1983-10-01,overall,4.0,0.2
1983-11-01,overall,3.1,0.2
1983-12-01,overall,3.3,0.6
1984-01-01,overall,4.1,1.8
1984-02-01,overall,5.7,1.2
1984-03-01,overall,4.1,-1.4
1984-04-01,overall,4.1,0.0
1984-05-01,overall,3.4,0.0
1984-06-01,overall,3.2,0.0
1984-07-01,overall,3.8,0.8
1984-08-01,overall,3.8,0.0
1984-09-01,overall,3.4,0.0
1984-10-01,overall,3.0,-0.2
1984-11-01,overall,2.2,-0.6
1984-12-01,overall,1.6,0.0
1985-01-01,overall,0.0,0.2
1985-02-01,overall,-1.0,0.2
1985-03-01,overall,0.8,0.4
1985-04-01,overall,0.4,-0.4
1985-05-01,overall,0.6,0.2
1985-06-01,overall,0.8,0.2
1985-07-01,overall,0.6,0.6
1985-08-01,overall,0.8,0.2
1985-09-01,overall,0.2,-0.6
1985-10-01,overall,0.2,-0.2
1985-11-01,overall,0.8,0.0
1985-12-01,overall,1.0,0.2
1986-01-01,overall,1.2,0.4
1986-02-01,overall,1.2,0.2
1986-03-01,overall,0.6,-0.2
1986-04-01,overall,0.4,-0.6
1986-05-01,overall,0.6,0.4
1986-06-01,overall,0.2,-0.2
1986-07-01,overall,-0.2,0.2
1986-08-01,overall,-0.6,-0.2
1986-09-01,overall,0.4,0.4
1986-10-01,overall,0.6,0.0
1986-11-01,overall,1.2,0.6
1986-12-01,overall,1.2,0.2
1987-01-01,overall,0.6,-0.2
1987-02-01,overall,0.4,0.0
1987-03-01,overall,0.0,-0.6
1987-04-01,overall,1.2,0.6
1987-05-01,overall,1.0,0.2
1987-06-01,overall,1.4,0.2
1987-07-01,overall,1.0,-0.2
1987-08-01,overall,1.4,0.2
1987-09-01,overall,1.0,0.0
1987-10-01,overall,1.2,0.2
1987-11-01,overall,0.8,0.2
1987-12-01,overall,1.0,0.4
1988-01-01,overall,1.3,0.2
1988-02-01,overall,1.5,0.2
1988-03-01,overall,2.3,0.2
1988-04-01,overall,1.7,0.0
1988-05-01,overall,1.5,0.0
1988-06-01,overall,2.3,0.9
